"estimated_load","latitude","longitude","route_number","speed","vehicle_number","event_timestamp"
,"45.520237","-122.677147",,"16","3038","1492200185"
,"45.415618","-122.631728",,"17","3110","1492200187"
,"45.415118","-122.625512",,"33","3538","1492200188"
,"45.510485","-122.776618",,"8","3540","1492200189"
,"45.55257","-122.57818",,"20","3239","1492200189"
"3","45.415118","-122.625511","32",,"3538","1492200190"
,"45.52032","-122.67747",,"11","3038","1492200190"
,,,,,"3538","1492200191"
,"45.415395","-122.631593",,"11","3110","1492200192"
,,,,,"3547","1492200192"
,"45.415643","-122.62608",,"33","3538","1492200193"
,,,,,"3547","1492200193"
"5","45.55257","-122.578179","12",,"3239","1492200193"
,"45.510385","-122.776447",,"7","3540","1492200194"
,"45.552832","-122.577535",,"26","3239","1492200194"
,"45.520395","-122.677757",,"11","3038","1492200195"
"15","45.415347","-122.631562","33",,"3110","1492200196"
,"45.58904","-122.751187",,"7","3547","1492200196"
,"45.416138","-122.626618",,"30","3538","1492200198"
,"45.510325","-122.776338",,"4","3540","1492200199"
,"45.553137","-122.57679",,"30","3239","1492200199"
,"45.52051","-122.6782",,"17","3038","1492200200"
,"45.589082","-122.750907",,"10","3547","1492200201"
,"45.416612","-122.627112",,"29","3538","1492200203"
,"45.553363","-122.576223",,"20","3239","1492200204"
,"45.520625","-122.678593",,"13","3038","1492200205"
,"45.58926","-122.750643",,"13","3547","1492200206"
,"45.41701","-122.627505",,"23","3538","1492200208"
,"45.55344","-122.576013",,"6","3239","1492200209"
"18","45.520657","-122.678685","15","2","3038","1492200210"
"4","45.553483","-122.575911","12",,"3239","1492200210"
,"45.589373","-122.750183",,"17","3547","1492200211"
,"45.41727","-122.627755",,"15","3538","1492200213"
,"45.589473","-122.749733",,"16","3547","1492200216"
,"45.417428","-122.6279",,"8","3538","1492200218"
"2","45.417432","-122.627904","32",,"3538","1492200221"
,"45.589505","-122.749505",,"7","3547","1492200221"
"3","45.589512","-122.749389","75",,"3547","1492200223"
,"45.51027","-122.776232",,"12","3540","1492200224"
,,,,,"3110","1492200226"
,"45.415172","-122.631392",,"2","3110","1492200227"
,"45.510135","-122.775958",,"13","3540","1492200229"
,,,,,"3239","1492200230"
,,,,,"3239","1492200231"
,"45.41482","-122.631097",,"21","3110","1492200232"
,"45.509975","-122.775667",,"12","3540","1492200234"
,"45.55369","-122.575432",,"6","3239","1492200234"
,,,,,"3038","1492200236"
,"45.414377","-122.630748",,"25","3110","1492200237"
,,,,,"3038","1492200237"
"78","45.505259","-122.842066","100",,"304","1492200237"
,"45.417527","-122.628008",,"2","3538","1492200238"
,"45.509787","-122.775628",,"9","3540","1492200239"
,,,,,"3538","1492200239"
,"45.55398","-122.574755",,"28","3239","1492200239"
,"45.512125","-122.622687",,"12","2505","1492200240"
,"45.413923","-122.6304",,"26","3110","1492200242"
,"45.417848","-122.628343",,"21","3538","1492200243"
,"45.509512","-122.775955",,"18","3540","1492200244"
,,,,,"3547","1492200244"
,"45.554277","-122.574033",,"29","3239","1492200244"
,"45.512127","-122.623003",,"12","2505","1492200245"
,,,,,"3547","1492200245"
,"45.589473","-122.748973",,"4","3547","1492200246"
,"45.413422","-122.630015",,"28","3110","1492200247"
,"45.418318","-122.628695",,"26","3538","1492200248"
,"45.509212","-122.776425",,"22","3540","1492200249"
,"45.554572","-122.573318",,"29","3239","1492200249"
,"45.512128","-122.623287",,"9","2505","1492200250"
"15","45.413422","-122.630014","33",,"3110","1492200250"
,,,,,"3110","1492200251"
,"45.58934","-122.748423",,"20","3547","1492200251"
"4","45.554572","-122.573318","12",,"3239","1492200251"
,"45.412895","-122.629618",,"30","3110","1492200252"
,,,,,"3239","1492200252"
,"45.418865","-122.628962",,"29","3538","1492200253"
"17","45.51213","-122.623351","14",,"2505","1492200254"
,"45.508928","-122.77702",,"25","3540","1492200254"
,"45.554862","-122.572607",,"28","3239","1492200254"
,"45.520673","-122.678863",,"10","3038","1492200255"
